Id;Marker;X;Y;Z
69;0;0.970529;-0.222641;0.092221
70;0;0.878837;-0.0930818;0.467954
71;0;0.970529;-0.092221;0.222641
72;0;0.092221;0.222641;-0.970529
73;0;0.0930818;0.467954;-0.878837
74;0;0.222641;0.092221;-0.970529
75;0;0.467954;0.0930818;-0.878837
76;0;0.299534;0.549316;-0.780084
77;0;0.299534;0.780084;-0.549316
78;0;0.549316;0.780084;-0.299534
79;0;0.780084;0.549316;-0.299534
80;0;0.780084;0.299534;-0.549316
81;0;0.549316;0.299534;-0.780084
82;0;0.0930818;0.878837;-0.467954
83;0;0.092221;0.970529;-0.222641
84;0;0.222641;0.970529;-0.092221
85;0;0.467954;0.878837;-0.0930818
86;0;0.878837;0.467954;-0.0930818
87;0;0.970529;0.222641;-0.092221
88;0;0.878837;0.0930818;-0.467954
89;0;0.970529;0.092221;-0.222641
90;0;-0.222641;0.092221;-0.970529
91;0;-0.467954;0.0930818;-0.878837
92;0;-0.092221;0.222641;-0.970529
93;0;-0.0930818;0.467954;-0.878837
94;0;-0.549316;0.299534;-0.780084
95;0;-0.780084;0.299534;-0.549316
96;0;-0.780084;0.549316;-0.299534
97;0;-0.549316;0.780084;-0.299534
98;0;-0.299534;0.780084;-0.549316
99;0;-0.299534;0.549316;-0.780084
100;0;-0.878837;0.0930818;-0.467954
101;0;-0.970529;0.092221;-0.222641
102;0;-0.970529;0.222641;-0.092221
103;0;-0.878837;0.467954;-0.0930818
104;0;-0.467954;0.878837;-0.0930818
105;0;-0.222641;0.970529;-0.092221
106;0;-0.0930818;0.878837;-0.467954
107;0;-0.092221;0.970529;-0.222641
108;0;-0.092221;-0.222641;-0.970529
109;0;-0.0930818;-0.467954;-0.878837
110;0;-0.222641;-0.092221;-0.970529
111;0;-0.467954;-0.0930818;-0.878837
112;0;-0.299534;-0.549316;-0.780084
113;0;-0.299534;-0.780084;-0.549316
114;0;-0.549316;-0.780084;-0.299534
115;0;-0.780084;-0.549316;-0.299534
116;0;-0.780084;-0.299534;-0.549316
117;0;-0.549316;-0.299534;-0.780084
118;0;-0.0930818;-0.878837;-0.467954
119;0;-0.092221;-0.970529;-0.222641
120;0;-0.222641;-0.970529;-0.092221
121;0;-0.467954;-0.878837;-0.0930818
122;0;-0.878837;-0.467954;-0.0930818
123;0;-0.970529;-0.222641;-0.092221
124;0;-0.878837;-0.0930818;-0.467954
125;0;-0.970529;-0.092221;-0.222641
126;0;0.222641;-0.092221;-0.970529
127;0;0.467954;-0.0930818;-0.878837
128;0;0.092221;-0.222641;-0.970529
129;0;0.0930818;-0.467954;-0.878837
130;0;0.549316;-0.299534;-0.780084
131;0;0.780084;-0.299534;-0.549316
132;0;0.780084;-0.549316;-0.299534
133;0;0.549316;-0.780084;-0.299534
134;0;0.299534;-0.780084;-0.549316
135;0;0.299534;-0.549316;-0.780084
136;0;0.878837;-0.0930818;-0.467954
137;0;0.970529;-0.092221;-0.222641
138;0;0.970529;-0.222641;-0.092221
139;0;0.878837;-0.467954;-0.0930818
140;0;0.467954;-0.878837;-0.0930818
141;0;0.222641;-0.970529;-0.092221
142;0;0.0930818;-0.878837;-0.467954
143;0;0.092221;-0.970529;-0.222641
